date,n_trades,total_volume,mean_leverage,total_pnl,mean_pnl,win_rate
2023-01-05,2,293.47,0.1379,0.0,0.0,0.0
2023-05-12,6,23907.1,3.7733000000000003,0.0,0.0,0.0
2024-01-01,12,153695.16,622.2771666666666,-411.208522,-34.26737683333334,0.0
2024-01-02,4,1008.16,27844.0,0.0,0.0,0.0
2024-01-03,100,217379.46,515217.284,6768.721409,67.68721409,0.99
2024-01-04,65,242673.29,531685.7897107693,2547.012957,39.18481472307692,0.6153846153846154
2024-01-05,14,87025.45,62.32951428571429,0.0,0.0,0.0
2024-01-07,46,290764.34,305624.07184130437,5065.839308,110.12694147826086,0.5652173913043478
2024-01-08,49,192966.62,193641.87043945916,-7.688276999999999,-0.15690361224489793,0.061224489795918366
2024-01-09,4,2998.25,8.635285,1.763998,0.4409995,0.25
2024-01-10,4,139954.32,1.83578,0.0,0.0,0.0
2024-01-11,21,244836.68,8853.497895714287,1040.475736,49.54646361904762,0.2857142857142857
2024-01-12,222,578579.65,39137.0807315541,39650.759772,178.607026,0.6711711711711712
2024-02-02,25,215137.78,5940.4443200000005,408.073529,16.32294116,0.44
2024-02-03,1,924.77,213523.0,30.106743,30.106743,1.0
2024-02-04,13,134967.06999999998,14.716199999999999,282.725662,21.748127846153846,0.6923076923076923
2024-02-07,10,771.5,1820.09493,22.2,2.2199999999999998,0.5
2024-02-08,59,390991.14,35404.130706115255,782.3681909999999,13.260477813559321,0.288135593220339
2024-02-09,2,30000.42,68.349,0.0,0.0,0.0
2024-02-10,4,99954.34,3.7032475,0.0,0.0,0.0
2024-02-11,2,40000.0,1.07776,0.0,0.0,0.0
2024-02-12,171,520918.86,13641.852420134503,18092.975541,105.80687450877193,0.38596491228070173
2024-03-01,60,376909.54000000004,2095.2033183333333,866.015507,14.433591783333332,0.4666666666666667
2024-03-02,14,248898.8,12.768007142857142,553.96576,39.56898285714286,0.42857142857142855
2024-03-03,54,152176.68,418138.0462962963,5036.431837,93.26725624074074,0.7222222222222222
